runkey,popsize,generations,xo_prob,mut_prob,selection_function,mutation_function,xo_function,elitism,patience,runcount,bestfit,duration_secs
ca39e325-aef5-4f13-b2ed-8642f951c843,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,1,8856,0.5882177352905273
53b9ece1-55df-4acd-8512-4c69947bce59,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,1,9160,0.682159423828125
b8869bfa-bc0d-419e-ab95-efdd9932eaca,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,1,8332,0.6506390571594238
2e04ec59-b8c2-443d-b31e-dab1160cc9f9,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,1,8720,0.6147849559783936
71cafe7d-b724-4e94-893d-29efff02a2f1,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,2,8080,0.6884815692901611
f744befc-7af9-4963-bfa6-a40a515cf3d3,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,3,7760,0.5790302753448486
1e829412-f1ef-4c38-935a-40052eb598d5,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,10,4,8880,0.7056689262390137
25833493-84bf-4316-b0c4-b2d7975008e1,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,20,1,8696,0.3812723159790039
ebc6a95e-3f8a-447e-8097-52665b71d6dc,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,20,2,8696,0.3623843193054199
1a4f6531-c655-4aa2-8c98-0911a76aa1ac,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,20,3,8500,0.42336177825927734
9fdc7108-acc4-409b-a315-6f87a3305459,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,20,4,8584,0.44167375564575195
2bb27bcf-072a-4b25-9e94-3fd9e1fc9a95,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,500,1,8516,0.24530792236328125
fa2e0ec8-5378-4f07-9f2a-c0d401bb16e4,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,500,2,8696,0.24837017059326172
e441e230-8462-480a-b7cd-b5c9c5f19e11,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,500,3,8220,0.26185011863708496
0a702c2b-4493-4609-a26c-d5a78230cb45,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,1,500,4,7852,0.3057572841644287
17bab70b-5e94-420e-9fe8-1168ba48699b,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,10,1,8308,0.41968274116516113
37a98e58-da99-410c-9a0d-bc520f70fe59,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,10,2,8468,0.43497610092163086
00f8e139-6608-4aed-b56a-5ac600ce1c6e,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,10,3,9404,0.5121595859527588
298f6d1a-4e61-42fb-bf89-df3f222575e3,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,10,4,9152,0.3884921073913574
d749087f-053b-4150-808d-bc0e7a5193b0,100,100,0.99,0.2,tournament_sel,swap_mutation,order_crossover,3,20,1,8880,0.3310065269470215
